Time (ms); Pri Amplitude (mm)
138825;116.2623
138910;116.1961
138998;116.4209
139085;116.4778
139182;116.5918
139260;116.6467
139349;116.8113
139440;116.7885
139523;116.8583
139611;117.0174
139690;117.1581
139786;117.1596
139872;117.3865
139959;117.4158
140040;117.5798
140128;117.6624
140223;117.6786
140304;117.8054
140393;117.8387
140476;117.9536
140563;118.0463
140651;118.0488
140742;118.2378
140836;118.1595
140913;118.0966
140998;118.1714
141086;118.0308
141174;117.9847
141261;117.8029
141348;117.8315
141444;117.7956
141521;117.6535
141609;117.6126
141693;117.5246
141789;117.4388
141869;117.2263
141955;117.1599
142050;117.1083
142132;116.8177
142223;116.7684
142302;116.6334
142392;116.6573
142480;116.4275
142570;116.4361
142657;116.3491
142745;116.329
142829;116.2732
142912;116.2122
143001;116.1679
143090;116.0366
143189;116.0825
143261;116.0569
143350;116.0757
143436;116.0208
143529;116.0863
143611;115.9672
143698;116.064
143781;116.0477
143875;116.1537
143958;115.8854
144044;116.2233
144137;116.307
144224;116.5645
144311;116.4772
144399;116.7155
144479;116.9303
144570;116.8985
144656;117.1534
144749;117.21
144826;117.0911
144913;117.2125
145005;117.41
145087;117.6009
145179;117.6002
145275;117.667
145354;117.8547
145442;117.979
145532;118.0297
145616;118.0301
145700;117.9963
145791;117.8643
145879;118.034
145964;118.0485
146051;117.9852
146144;117.9959
146223;117.9392
146308;117.8217
146398;117.7796
146482;117.7693
146569;117.6246
146655;117.3834
146749;117.3196
146836;117.2647
146917;117.2271
147007;117.0511
147097;116.9714
147181;116.8134
147270;116.8224
147355;116.7233
147439;116.7811
147528;116.5411
147625;116.4599
147700;116.4413
147794;116.4783
147877;116.2799
147967;116.3281
148051;116.3052
148135;116.228
148222;116.2004
148306;116.2875
148396;116.224
148491;115.9901
148574;116.0088
148660;115.9671
148749;116.2268
148838;116.109
148919;116.288
149006;116.3042
149092;116.3953
149186;116.6001
149270;116.6601
149358;116.684
149443;116.7389
149528;116.8646
149620;117.0773
149700;117.0193
149789;117.1101
149878;117.3627
149966;117.401
150051;117.5292
150140;117.6885
150231;117.6817
150320;117.661
150398;117.799
150499;117.9122
150577;117.9911
150664;117.9604
150755;118.0472
150836;117.9444
150924;117.9703
151014;117.9466
151095;117.9059
151180;117.7498
151276;117.5587
151355;117.4933
151448;117.5183
151536;117.3704
151624;117.1687
151716;117.123
151795;117.0028
151876;116.94
151968;116.7711
152059;116.5607
152142;116.5725
152231;116.4164
152319;116.4267
152401;116.4763
152489;116.2086
152580;116.2147
152664;116.3008
152760;116.3424
152841;116.1446
152930;116.2019
153023;116.1093
153100;116.1587
153185;116.1152
153271;116.1476
153365;116.2513
153452;116.1285
153536;116.299
153626;116.5796
153705;116.5068
153797;116.6808
153886;116.9273
153970;116.9219
154062;117.0148
154149;116.9941
154236;117.2234
154319;117.256
154411;117.2913
154497;117.4251
154584;117.5762
154668;117.5248
154767;117.6989
154851;117.7223
154931;117.6317
155019;117.729
155106;117.8569
155195;117.8081
155284;117.7529
155365;117.8604
155463;117.7858
155542;117.734
155625;117.8088
155710;117.6799
155813;117.64
155901;117.35
155978;117.3908
156061;117.2599
156151;117.1487
156236;117.0558
156318;116.9707
156412;116.7968
156496;116.7723
156586;116.7474
156668;116.6019
156759;116.6083
156847;116.365
156942;116.3989
157018;116.361
157113;116.2721
157193;116.1658
157292;116.2469
157368;116.0863
157462;116.075
157544;116.0547
157630;116.2088
157721;116.0485
157804;116.0929
157890;116.2369
157982;116.3985
158073;116.3719
158146;116.4769
158244;116.5767
158334;116.7368
158414;116.8449
158502;116.8507
158585;116.8361
158678;116.943
158762;117.0796
158848;117.1889
158939;117.3353
159026;117.3287
159104;117.5531
159205;117.5754
159283;117.7327
159375;117.7021
159461;117.8142
159547;117.785
159634;117.6948
159724;117.8191
159809;117.7707
159893;117.8163
159980;117.7922
160073;117.8041
160156;117.7592
160240;117.7361
160331;117.6298
160414;117.4584
160505;117.3511
160589;117.279
160676;117.2278
160763;117.154
160851;116.9422
160933;116.9163
161023;116.7699
161114;116.7342
161203;116.6395
161291;116.561
161380;116.3578
161460;116.3015
161546;116.4307
161633;116.4575
161716;116.2576
161806;116.2487
161893;116.185
161981;116.1519
162074;116.1426
162153;116.1891
162245;116.1432
162332;116.1118
162419;116.0396
162502;116.0313
162594;116.1203
162687;115.9366
162766;116.0715
162853;116.1056
162943;116.1542
163025;116.2059
163118;116.2629
163205;116.3078
163291;116.3227
163378;116.4544
163461;116.5997
163549;116.7117
163637;116.6721
163723;116.9164
163819;116.9193
163899;117.0406
163984;117.209
164072;117.1835
164169;117.1842
164251;117.1957
164345;117.3739
164421;117.5148
164511;117.5803
164592;117.8075
164686;117.7738
164778;117.8438
164854;117.8664
164943;117.8161
165029;117.6849
165115;117.6134
165203;117.6684
165287;117.7281
165377;117.6097
165464;117.56
165563;117.5049
165637;117.4631
165724;117.3028
165813;117.3259
165900;117.1876
