Time (ms); Pri Amplitude (mm)
57345;159.398
57441;159.4325
57529;159.4742
57619;159.5952
57705;159.5505
57792;159.4759
57890;159.4037
57985;159.4053
58070;159.2662
58163;159.1258
58253;158.961
58340;159.1124
58426;159.1045
58517;159.1439
58607;159.2594
58690;159.1045
58785;159.2331
58874;159.3783
58964;159.8099
59057;159.9918
59147;159.9782
59227;159.9739
59322;159.8363
59411;159.7537
59500;159.7538
59589;159.6183
59677;159.4545
59767;159.4516
59859;159.4251
59950;159.2578
60041;159.1621
60130;159.2484
60221;159.3024
60309;159.1721
60397;159.264
60486;159.1998
60578;159.0759
60666;159.1314
60755;159.0109
60849;158.9177
60939;158.8197
61027;158.8297
61113;158.9735
61202;158.8679
61297;158.9707
61382;159.0121
61480;159.2119
61567;159.3936
61651;159.7166
61748;159.8898
61832;159.7956
61924;159.4898
62014;159.5264
62103;159.7141
62188;159.5533
62278;159.2982
62369;159.2956
62459;159.2382
62555;159.1149
62641;158.929
62733;159.0053
62821;159.0538
62913;158.804
62995;158.8243
63092;158.7854
63177;158.6978
63266;158.5814
63361;158.7343
63447;158.7688
63539;158.7971
63626;158.8821
63718;159.0821
63802;159.2859
63896;159.4418
63985;159.6949
64074;159.9321
64166;160.0726
64254;160.0187
64340;160.2267
64432;160.2221
64526;160.236
64612;160.3196
64706;160.3816
64796;160.4813
64882;160.2766
64970;160.3149
65063;160.276
65148;160.069
65240;159.8767
65331;159.7165
65420;159.7477
65510;159.6074
65603;159.3487
65686;159.2375
65781;158.925
65870;158.789
65957;158.8622
66049;158.4307
66136;158.7644
66227;158.7567
66317;158.9133
66408;158.722
66500;158.7653
66589;158.7412
66682;158.8376
66770;159.0609
66860;159.3073
66948;159.3837
67035;159.4534
67126;159.451
67214;159.653
67301;159.8685
67392;159.8074
67486;160.0885
67572;160.3911
67667;160.8198
67756;160.455
67845;160.5004
67935;160.8507
68022;160.5952
68109;160.4826
68200;160.4239
68297;160.3834
68382;160.1862
68470;160.2316
68562;160.2024
68649;160.1823
68742;160.0842
68830;160.2046
68920;160.2346
69010;159.9944
69098;160.1302
69191;160.0949
69282;160.1187
69367;160.2245
69457;160.2191
69542;160.129
69636;159.9526
69729;159.955
69817;159.9732
69904;159.6582
69994;159.694
70087;159.4712
70173;159.0788
70267;158.873
70355;158.6875
70445;158.7499
70534;158.8925
70622;159.0583
70711;159.0315
70803;158.9327
70894;159.1158
70986;159.1122
71070;159.3841
71160;159.6074
71249;159.8791
71338;159.7553
71431;159.6005
71523;159.4449
71609;159.4602
71699;159.3995
71789;159.2032
71882;159.3683
71965;159.5269
72056;159.2667
72148;159.3943
72237;159.6138
72326;159.4802
72415;159.4902
72503;159.5011
72597;159.538
72691;159.418
72776;159.443
72867;159.5116
72957;159.6132
73049;159.4832
73133;159.3739
73222;159.1048
73313;159.0295
73403;158.891
73494;159.0464
73584;159.0709
73676;159.1414
73764;159.1602
73854;159.3455
73944;159.1013
74033;159.3783
74125;159.5167
74213;159.8776
74303;159.892
74390;160.1758
74480;160.2096
74573;160.1458
74664;160.0384
74751;160.1101
74840;160.0894
74929;160.208
75020;160.0927
75111;160.1753
75200;159.993
75290;159.971
75377;159.9085
75467;159.9132
75558;159.8412
75647;159.8703
75734;159.654
75827;159.3366
75915;159.2684
76004;158.9294
76094;158.8939
76184;159.0592
76281;158.9516
76369;159.1352
76457;158.9747
76547;159.0939
76637;159.1299
76723;159.0891
76816;159.4091
76907;159.7096
76992;160.0654
77083;160.251
77173;160.1909
77266;160.2575
77355;160.5355
77445;160.7318
77534;160.6717
77626;160.6858
77712;160.6701
77803;160.6175
77890;160.6187
77979;160.4684
78069;160.3184
78164;160.0137
78250;159.8345
78340;159.878
78429;159.5477
78523;159.2769
78611;159.0923
78700;159.021
78792;158.7705
78879;158.6819
78970;158.7028
79058;158.6461
79151;158.7103
79242;158.7944
79332;158.9474
79418;158.989
79508;159.1581
79599;159.4274
79686;159.4719
79781;159.7552
79873;159.7217
79957;159.9001
80048;160.0263
80138;160.1513
80226;160.3284
80316;160.1369
80408;160.1388
80499;160.4371
80586;160.5229
80679;160.1745
80769;160.2908
80857;160.1896
80940;159.8592
81035;159.6791
81123;159.6676
81214;159.5583
81306;159.3697
81397;159.0984
81483;158.8545
81572;158.9229
81663;158.5977
81752;158.619
81839;158.8221
81933;158.8566
82027;158.7521
82118;158.7974
82202;158.9211
82293;159.0645
82381;159.1497
82473;159.4434
82560;159.6702
82648;159.8259
82737;159.9555
82833;159.929
82919;159.9359
83012;159.9921
83101;160.1938
83188;160.1543
83280;160.0965
83369;160.3242
83458;160.1893
83548;160.0636
83637;159.9881
83731;160.0802
83817;160.013
83906;159.9349
83997;159.9398
84087;159.5865
84179;159.2745
84271;159.262
84355;159.2172
84448;159.3062
84545;159.325
84627;159.3572
84718;159.4896
84805;159.3991
84897;159.6853
84985;159.8442
85079;159.947
85172;159.7724
85256;159.7326
85339;159.6848
85437;159.4537
85525;159.3809
85616;159.4774
85707;159.3389
85794;159.2966
85893;159.2542
85974;159.1823
86067;159.1588
86147;159.0149
86247;158.9909
86332;158.928
86422;159.027
86514;158.9408
86604;158.9818
86691;158.8316
86787;158.7498
86879;158.7931
86963;158.6448
87057;158.7009
87151;158.6542
87230;158.6734
87321;158.6614
87414;158.845
87496;158.827
87597;159.0061
87682;159.2003
87779;159.4342
87864;159.6772
87957;159.5565
88035;159.378
88127;159.4776
88220;159.6205
88308;159.4601
88399;159.2451
88497;159.2748
88582;159.087
88670;158.8751
88763;158.9399
88846;158.8694
88941;158.8858
89030;158.8104
89113;158.8133
89212;158.7941
89299;158.7445
89387;158.8337
89480;158.821
89566;158.6748
89663;158.6971
89745;158.6572
89834;158.5404
89924;158.4622
90016;158.4924
90107;158.6723
90196;158.7374
90284;158.6522
90371;158.7833
90465;158.7074
90556;158.68
90645;158.9994
90729;159.3667
90825;159.4908
90918;159.596
91001;159.6898
91092;159.3697
91190;159.2263
91279;159.167
91366;159.2018
91452;159.0759
91540;159.1668
91630;159.2673
91720;159.3206
91804;159.243
91904;159.3188
91993;159.5141
92076;159.7411
92175;159.8241
92263;159.6649
92348;159.7209
92441;159.5862
92533;159.4006
92616;159.5724
92707;159.5198
92798;159.3371
92886;159.3708
92973;159.2594
93063;159.0112
93155;159.3176
93250;159.0992
93340;159.2149
93421;159.0682
93513;158.9376
93612;158.6825
93691;158.4597
93783;158.5423
93874;158.4847
93959;158.4756
94051;158.7241
94142;158.7666
94226;158.7061
94318;158.8124
94409;158.6401
94507;159.1153
94597;159.2698
94685;159.6363
94764;159.9859
94864;159.8159
94957;159.7166
95035;160.0322
95127;160.1201
95221;160.033
95304;159.8633
95397;159.9066
95488;159.683
95577;159.7368
95667;159.6517
95757;159.6735
95840;159.5792
95934;159.3869
96024;159.3715
96117;159.2003
96205;159.0446
96298;158.8202
96382;158.8046
96472;158.5033
96561;158.5076
96654;158.4389
96743;158.3407
96831;158.395
96921;158.5166
97012;158.4125
97100;158.4561
97195;158.784
97279;158.926
97374;158.7719
97463;159.1882
97552;159.2026
97640;159.5571
97728;159.4344
97817;159.5957
97907;159.2398
97995;159.3168
98086;159.1479
98177;159.3784
98270;158.9919
98359;158.9598
98448;159.0136
98541;158.8955
98628;158.6885
98714;158.4036
98802;158.505
98898;158.6919
98990;158.6854
