Time (ms); Pri Amplitude (mm)
69471;150.3293
69548;150.3767
69621;150.3216
69691;150.198
69760;150.022
69833;149.9445
69903;149.6488
69980;149.6036
70052;149.6453
70134;149.5411
70203;149.4784
70270;149.5308
70344;149.4917
70413;149.4117
70487;149.4789
70566;149.3618
70634;149.3224
70712;149.3721
70785;149.234
70857;149.1778
70925;149.2244
70999;149.1444
71073;149.2412
71146;149.269
71215;149.2043
71287;149.3049
71364;149.2699
71436;149.3497
71512;149.3981
71581;149.5063
71653;149.7072
71724;149.782
71805;149.9621
71869;150.1522
71942;150.2429
72021;150.3479
72092;150.5205
72165;150.5332
72237;150.4344
72319;150.3834
72381;150.3395
72454;150.26
72528;150.1815
72598;150.2618
72674;150.2821
72746;150.1421
72817;150.0295
72897;150.043
72962;149.8541
73038;149.6987
73114;149.68
73183;149.5647
73257;149.5816
73330;149.3844
73400;149.3915
73474;149.3596
73554;149.3941
73623;149.3491
73695;149.2486
73766;149.2711
73841;149.3127
73917;149.3272
73991;149.3293
74058;149.3907
74130;149.2896
74203;149.3032
74276;149.4045
74348;149.4602
74419;149.7212
74492;149.9296
74569;149.9894
74639;150.0446
74715;150.2097
74785;150.4041
74856;150.4608
74930;150.545
75005;150.6587
75078;150.5381
75151;150.519
75230;150.4794
75297;150.3336
75367;150.2902
75443;150.3015
75512;150.253
75588;150.1704
75658;150.1163
75738;150.0057
75803;149.7468
75887;149.6194
75962;149.6795
76026;149.4974
76097;149.5096
76171;149.4852
76247;149.4511
76317;149.4109
76394;149.406
76462;149.4104
76537;149.3113
76608;149.279
76680;149.3496
76754;149.2564
76826;149.29
76895;149.2879
76972;149.2294
77046;149.4037
77117;149.4044
77189;149.5513
77266;149.814
77335;149.9261
77409;150.0145
77480;150.2012
77554;150.3328
77630;150.5136
77706;150.6654
77773;150.8826
77851;150.7196
77918;150.6322
77989;150.5899
78072;150.493
78148;150.4405
78208;150.3134
78288;150.363
78358;150.3379
78433;150.1976
78502;150.1099
78572;150.1077
78649;149.7364
78725;149.7096
78794;149.6601
78866;149.5044
78938;149.5364
79017;149.4212
79086;149.4769
79156;149.4143
79230;149.3317
79303;149.3865
79375;149.4132
79448;149.362
79524;149.2219
79598;149.3161
79672;149.2768
79742;149.3354
79815;149.3174
79888;149.3085
79958;149.3016
80031;149.2987
80105;149.4611
80187;149.5376
80253;149.8441
80327;149.8729
80399;150.022
80469;150.1344
80548;150.227
80620;150.2902
80695;150.4295
80761;150.4983
80842;150.7521
80910;150.7719
80985;150.8408
81056;150.7648
81125;150.7105
81198;150.6543
81273;150.5331
81345;150.5226
81423;150.4678
81494;150.4406
81570;150.2129
81637;150.101
81710;149.9839
81787;149.8911
81857;149.874
81933;149.7774
82006;149.7562
82076;149.6743
82150;149.7449
82223;149.7257
82297;149.6826
82368;149.6114
82439;149.5822
82512;149.5756
82581;149.6159
82659;149.5399
82732;149.563
82806;149.5374
82878;149.5254
82951;149.6422
83019;149.6552
83098;149.7305
83170;149.8294
83239;149.969
83313;150.1798
83387;150.1983
83462;150.3214
83533;150.476
83605;150.581
83677;150.6749
83751;150.6892
83826;150.779
83896;150.7756
83970;150.7117
84040;150.6973
84117;150.6632
84190;150.5707
84257;150.4786
84337;150.4714
84406;150.3678
84476;150.2839
84551;150.0623
84627;149.9992
84695;149.9318
84774;149.897
84846;149.774
84914;149.793
84985;149.74
85066;149.6926
85134;149.6906
85216;149.6839
85292;149.5876
85364;149.6423
85425;149.5504
85499;149.5825
85571;149.593
85654;149.6041
85729;149.511
85796;149.5326
85866;149.5841
85938;149.5347
86008;149.5511
86083;149.6952
86159;149.6907
86226;149.8034
86297;149.8647
86369;150.0866
86445;150.1787
86518;150.2986
86592;150.3972
86661;150.5144
86738;150.7312
86811;150.7263
86882;150.7358
86960;150.6093
87031;150.5769
87106;150.5657
87179;150.4323
87250;150.3693
87323;150.3574
87396;150.191
87462;150.2589
87545;150.0568
87610;150.0038
87685;149.9274
87766;149.7718
87830;149.761
87906;149.7114
87977;149.655
88048;149.6202
88127;149.6786
88199;149.4872
88268;149.4877
88339;149.4695
88410;149.5028
88489;149.486
88556;149.5238
88638;149.5462
88710;149.3805
88773;149.4523
88847;149.4772
88931;149.4553
88998;149.4938
89070;149.5718
89144;149.4931
89213;149.5855
89294;149.6833
89362;149.8888
89430;150.1147
89503;150.1465
89582;150.3579
89650;150.4133
89723;150.5276
89798;150.6058
89869;150.5072
89939;150.4973
90011;150.4529
90084;150.3507
90156;150.3594
90231;150.2788
90306;150.1608
90379;149.9953
90452;149.9259
90521;149.9196
90598;149.8638
90671;149.7765
90746;149.7348
90816;149.7142
90891;149.6337
90965;149.6067
91037;149.5433
91105;149.6268
91179;149.5835
91259;149.594
91324;149.5355
91396;149.5026
91469;149.5045
91546;149.427
91613;149.4256
91688;149.5391
91761;149.5472
91833;149.5081
91908;149.5014
91979;149.6131
92055;149.7598
92127;149.7428
92205;150.0274
92275;150.1496
92345;150.2631
92416;150.4009
92492;150.5636
92568;150.6949
92635;150.8762
92712;150.7867
92786;150.7872
92858;150.7429
92931;150.7164
93001;150.5116
93073;150.352
93144;150.2257
93220;150.0198
93295;149.8018
93373;149.6093
93445;149.5049
93514;149.4345
93582;149.5492
93656;149.4326
93725;149.2378
93806;149.2208
93877;149.0547
93950;149.0052
94021;149.0117
94095;149.1878
94163;149.2058
94241;149.2326
94318;149.2338
94383;149.297
94465;149.3095
94539;149.1676
94604;149.1266
94677;148.9996
94746;149.0153
94821;149.0858
94900;149.0023
94970;149.0179
95040;149.0459
95113;149.2881
95182;149.2459
95254;149.3333
95331;149.3742
95405;149.56
95472;149.7668
95553;149.934
95624;149.969
95693;150.1108
95770;150.2253
95840;150.2919
95914;150.3223
95989;150.2567
96062;150.2728
96130;150.3089
96208;150.2136
96282;150.1761
96350;150.0917
96427;149.9514
96498;149.8151
96574;149.476
96644;149.5184
96717;149.4168
96789;149.2461
96858;149.2445
96936;149.2761
97006;149.297
97081;149.1583
97156;149.1805
97224;149.2379
97299;149.1198
97375;149.1203
97447;149.281
97516;149.0588
97597;149.0623
97667;149.1395
97731;148.9391
97809;149.0142
97875;148.9681
97955;149.0015
98030;149.0371
98102;149.0995
98174;149.1917
98250;149.0811
98317;149.242
98391;149.2265
98464;149.2769
98536;149.4092
98613;149.4311
98683;149.7058
98761;149.7384
98829;149.919
98902;149.9678
98982;150.1182
99059;150.2142
99128;150.1374
99189;150.0856
99263;150.129
99339;150.0451
99406;149.905
99489;149.835
99557;149.4212
99629;149.1298
99700;149.0994
99776;149.0239
99847;148.955
99922;148.8641
99994;148.8885
100063;148.8194
100143;148.7851
100214;148.7161
100283;148.7523
100360;148.6494
100436;148.7645
100498;148.6492
100577;148.6255
100651;148.6618
100720;148.5612
100794;148.6132
100868;148.5845
100936;148.5721
101018;148.5471
101090;148.4351
101158;148.6136
101231;148.6664
101309;148.614
101378;148.6402
101447;148.764
101521;148.6893
101592;148.8643
101667;148.9089
101743;149.1459
101811;149.3013
101889;149.5505
101962;149.6427
102029;149.7204
102100;149.7974
102178;149.8474
102250;149.8896
102326;149.9477
102396;150.0572
102468;149.9983
102546;150.0401
102616;149.9061
102688;149.9063
102762;149.8447
102832;149.6635
102903;149.5938
102975;149.3861
103050;149.3663
103127;149.309
103194;149.2457
103268;149.2266
103341;149.1988
103411;149.1379
103487;149.0383
103556;149.1388
103632;149.0033
103707;148.9868
103786;148.9391
103850;148.9297
103924;148.9546
104005;148.9416
104067;148.9222
104148;148.9085
104220;148.8948
104286;148.9727
104360;148.916
104436;148.9956
104509;149.1489
104582;149.1592
104662;149.28
104727;149.5139
104803;149.6582
104871;149.7208
104941;149.6018
105021;149.7647
105089;149.8316
105162;149.901
105234;149.8588
105308;149.8716
105378;149.8752
105451;149.757
105525;149.7796
105603;149.7063
105677;149.678
105748;149.5343
105826;149.4539
105892;149.3171
105971;149.206
106035;149.0517
106108;149.0277
106180;148.949
106255;148.7811
106325;148.8197
106397;148.6815
106472;148.6728
106545;148.5806
106619;148.814
106689;149.0198
106765;149.0971
106834;148.9569
106912;148.9638
106981;148.9436
107055;148.9994
107126;148.8691
107200;148.8545
107272;148.9248
107349;148.9537
107423;149.0472
107495;149.1207
107571;149.1722
107640;149.1853
107712;149.4019
107785;149.5184
107856;149.6918
107927;149.7195
108008;149.9367
108076;149.9585
108148;150.1536
108218;150.1927
108295;150.1669
108376;150.0648
108439;150.1201
108524;150.0207
108585;150.0232
108659;149.9846
108732;149.844
108808;149.7126
108877;149.5584
108951;149.34
109030;149.1571
109093;149.1859
109165;148.8023
109241;148.6832
109312;148.748
109385;148.5476
109457;148.7643
109535;148.6425
109610;148.5987
109686;148.5834
109750;148.5919
109822;148.5886
109897;148.4928
109974;148.4759
110041;148.4941
110114;148.434
110190;148.3919
110262;148.4414
110331;148.4055
110404;148.4866
110477;148.449
110551;148.4964
110624;148.5012
110698;148.5931
110771;148.5433
110848;148.6202
110918;148.5719
110987;148.6646
111062;148.8182
111135;148.9132
111205;148.9547
111279;149.3286
111354;149.3704
111424;149.3867
111502;149.506
111574;149.5801
111644;149.6197
111717;149.4814
111792;149.4511
111862;149.3174
111938;149.4718
112011;149.4169
112079;149.3793
112153;149.3147
112234;149.1837
112298;149.2888
112372;149.1988
112444;149.1348
112522;149.0995
112593;149.0811
112667;149.0126
112737;149.0342
112810;148.8951
112881;148.8939
112957;148.8763
113027;148.8655
113100;148.8873
113177;148.8386
113259;148.9044
113318;148.7559
113394;148.8542
113468;148.823
113540;148.8322
113616;148.9232
113690;148.8623
113766;148.8892
113833;149.0207
113906;149.0231
113984;149.0778
114048;149.2147
114123;149.2758
114197;149.5047
114269;149.5746
114346;149.6308
114420;149.7
114489;149.6839
114566;149.8328
114635;149.751
114708;149.7278
114782;149.7769
114859;149.7084
114926;149.6564
114997;149.5049
115069;149.4682
115144;149.4815
115222;149.3967
115296;149.3195
115360;149.3076
115437;149.2302
115512;149.1236
115586;148.9842
115660;149.1077
115734;149.0855
