17:52:25   Default
03112021Patient8
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
115068;22.4484;32.3891;
115142;22.3652;32.9528;
115210;22.5368;33.1695;
115285;22.7091;33.8299;
115362;22.5332;34.3213;
115436;22.8017;34.9608;
115504;23.1236;35.4832;
115577;23.0645;36.1889;
115651;23.1044;36.7238;
115728;22.934;37.4064;
115798;23.2565;37.9376;
115868;23.3132;38.4859;
115944;23.1831;39.2281;
116017;23.0391;39.5968;
116088;23.1915;40.1142;
116162;23.4198;40.4057;
116237;23.52;40.9497;
116309;23.6737;41.0662;
116383;23.8558;41.0197;
116453;23.8268;40.518;
116532;24.023;39.9747;
116602;24.0367;39.2482;
116676;23.9169;38.448;
116744;23.9116;38.2477;
116816;23.8736;37.4737;
116889;23.5546;36.8068;
116963;23.9008;36.4296;
117038;23.639;35.7397;
117111;23.6981;35.377;
117181;23.6881;34.6465;
117255;23.9618;34.2163;
117326;23.7215;33.6092;
117399;23.7166;33.146;
117471;23.7333;32.5706;
117543;23.5308;32.0623;
117617;23.5083;31.8955;
117691;23.5003;31.3302;
117765;23.3161;30.9231;
117837;23.3123;30.4678;
117914;23.3189;30.2723;
117983;23.4831;29.9534;
118057;23.3871;29.6473;
118127;23.186;29.4696;
118203;23.1534;29.1814;
118274;23.1921;28.9474;
118347;23.1634;28.581;
118420;23.1973;28.4652;
118497;22.9664;28.3954;
118568;22.9727;28.0907;
118638;22.8573;27.84;
118710;22.7605;27.6158;
118782;22.8991;27.4192;
118859;22.8642;27.3727;
118930;22.8862;27.2239;
118997;22.8875;27.0839;
119079;22.9388;27.0022;
119148;22.966;26.9715;
119222;22.8557;26.906;
119293;22.7608;27.0013;
119367;22.7137;27.2067;
119442;22.643;27.1083;
119515;22.5966;27.1874;
119585;22.5088;27.4106;
119656;22.7252;27.798;
119729;22.6595;28.3355;
119804;22.7503;28.8445;
119884;22.7799;29.4779;
119951;22.7336;30.022;
120019;22.8749;30.6559;
120093;22.8041;31.232;
120169;22.6763;31.874;
120243;22.947;32.7466;
120313;22.7427;33.2695;
120384;22.7643;33.8328;
120464;22.7133;34.5433;
120537;23.0119;35.3116;
120605;23.1448;35.9254;
120672;23.3121;36.4325;
120751;23.4437;37.0106;
120827;23.5248;37.7072;
120899;23.5351;38.2555;
120970;23.5951;38.83;
121045;23.5;39.6128;
121116;23.5579;40.0417;
121186;23.3924;40.3129;
121260;23.6523;40.8509;
121329;23.6873;40.8713;
121407;23.6687;40.6125;
121479;23.9497;40.0508;
121553;24.0056;39.4016;
121626;23.9667;38.6296;
