16:45:02   Default
2021_11_30_Andi
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
144034;65.0737;65.9233;
144104;64.9953;65.833;
144177;64.9717;65.7023;
144251;64.9682;65.467;
144322;65.0698;65.427;
144399;64.9113;65.438;
144470;64.888;65.41;
144544;64.7926;65.4219;
144616;64.9523;65.4154;
144690;64.9674;65.5174;
144757;64.907;65.5161;
144836;64.9171;65.5318;
144908;64.9238;65.5905;
144983;64.8731;65.4874;
145052;64.7607;65.6466;
145123;64.7612;65.9004;
145197;64.9341;65.4237;
145271;64.7743;65.6038;
145347;64.9675;65.274;
145420;64.8598;65.2631;
145493;64.8081;65.2009;
145563;64.8575;65.2515;
145644;64.9646;65.2065;
145706;64.9629;65.2508;
145782;64.8207;65.2497;
145856;64.9691;65.2375;
145927;64.9821;65.3793;
146000;64.9073;65.4504;
146072;64.913;65.4205;
146147;64.8173;65.4352;
146218;64.7303;65.5787;
146288;64.6613;65.6886;
146368;64.8729;65.28;
146441;64.9128;65.2798;
146507;64.8572;65.2225;
146581;64.9179;65.1043;
146657;64.8646;65.0583;
146731;64.8808;65.1083;
146804;64.8419;65.1344;
146875;64.9425;65.1229;
146947;64.9128;65.1529;
147021;64.8417;65.3232;
147092;64.9455;65.5106;
147166;64.843;65.8185;
147240;64.8839;66.3124;
147313;64.9426;66.8504;
147384;64.8691;67.4636;
147456;64.8979;68.1542;
147528;64.8637;68.4352;
147602;64.9275;68.8686;
147676;65.0128;69.3615;
147746;65.0286;69.7521;
147825;65.2548;70.3235;
147898;65.4663;70.9039;
147968;65.5676;71.4332;
148037;65.5574;71.8826;
148115;65.7095;72.4404;
148185;65.7611;73.082;
148259;65.8951;73.7628;
148330;65.8571;74.2949;
148404;65.9763;74.7314;
148480;66.1097;75.1974;
148554;66.1377;75.7797;
148623;66.0766;76.1851;
148694;66.3277;76.2638;
148766;66.2416;76.6967;
148844;66.4449;77.0592;
148919;66.4313;77.3877;
148992;66.5228;77.7221;
149057;66.6718;78.1051;
149133;66.7147;78.5428;
149206;66.825;78.7045;
149277;66.7054;78.9975;
149354;66.7762;79.1325;
149423;66.9002;79.2199;
149496;66.8799;79.1671;
149571;66.9336;78.8851;
149642;66.7965;78.6282;
149711;66.8787;77.7565;
149783;67.0076;76.4844;
149861;67.0859;75.2439;
149937;67.0603;74.5168;
150006;66.8573;73.8739;
150076;66.9056;73.0665;
150150;66.8153;72.5048;
150230;66.7348;72.035;
150296;66.6119;71.4453;
150370;66.4954;70.9476;
150445;66.4805;70.506;
150514;66.4435;70.061;
150592;66.4219;69.7652;
150665;66.2768;69.2897;
150736;66.1239;69.2094;
150809;66.1311;69.122;
150879;65.9214;68.4562;
150955;65.9966;67.9984;
151025;65.9105;67.5331;
151098;65.7873;67.1037;
151173;65.6136;66.9095;
151252;65.6036;66.8006;
151320;65.3958;66.5894;
151392;65.4438;66.4359;
151463;65.4114;66.2883;
151539;65.3089;66.1251;
151608;65.2376;66.042;
151686;65.0628;65.999;
151758;65.216;65.8238;
151835;65.1728;65.6938;
151904;65.0452;65.7357;
151981;64.9649;65.9771;
152047;65.0256;65.7873;
152121;65.0848;65.6048;
152196;65.0206;65.4376;
152263;65.0586;65.2499;
152336;64.9785;65.2064;
152408;64.9906;65.3276;
152491;65.0865;65.3383;
152558;65.0244;65.1867;
152629;64.9119;65.291;
152700;64.9484;65.383;
152779;64.994;65.4011;
152853;64.929;65.4995;
152926;64.9976;65.4808;
152997;64.9764;65.4804;
153065;65.0357;65.3886;
153141;64.8699;65.747;
153214;64.8453;65.5904;
153281;64.8519;65.4446;
153361;64.9916;65.3831;
153431;64.925;65.257;
153501;64.9685;65.2552;
153577;64.9847;65.1482;
153649;65.0216;65.1668;
153720;65.0795;65.2144;
153796;65.0317;65.2038;
153868;64.8883;65.2659;
153941;64.8992;65.3376;
154015;64.8481;65.4356;
154087;64.941;65.4498;
154160;64.9348;65.4551;
154237;64.7812;65.418;
154310;64.8332;65.7179;
154376;64.8136;65.821;
154454;64.8387;65.5954;
154526;64.8892;65.9083;
154595;64.9826;66.5185;
154673;64.944;67.1333;
154745;65.043;67.6676;
154822;65.1586;68.3636;
154890;65.1365;68.7215;
154963;65.2462;69.073;
155032;65.5023;69.5598;
155106;65.5185;69.9972;
155180;65.4857;70.5876;
155254;65.6979;71.3042;
155326;65.7517;71.7046;
155399;65.7912;72.132;
155472;65.734;72.7113;
155542;65.8488;72.9247;
155617;65.9964;73.3347;
155691;66.0737;73.8093;
155768;66.1368;74.0097;
155834;66.2462;74.5075;
155907;66.3983;74.9389;
155985;66.3729;75.5075;
156052;66.4979;75.8961;
156131;66.5165;76.4448;
156197;66.6078;76.8558;
156270;66.6715;77.2617;
156352;66.7106;77.6351;
156418;66.7511;77.9923;
156493;66.6646;78.3701;
156572;66.7167;78.6057;
156640;66.7589;78.6455;
156709;66.7405;78.8388;
156780;66.9241;79.0372;
156856;66.8279;79.0052;
156934;66.9462;79.113;
157008;66.9765;79.101;
157072;67.0817;79.2809;
157145;66.991;79.2829;
157221;66.9109;79.3812;
157291;67.0771;79.3372;
157368;66.9692;79.2948;
157441;67.0202;79.2168;
157509;67.0785;79.0041;
157581;66.8999;78.7675;
157655;67.058;77.7098;
157733;67.168;76.4325;
157802;67.0117;75.512;
157872;67.1675;74.6615;
157949;66.9229;73.9459;
158018;66.9829;72.9281;
158090;66.8219;72.3585;
158162;66.8568;71.8345;
158237;66.6785;71.2038;
158312;66.5969;70.6475;
158386;66.5287;70.299;
158457;66.4358;69.9038;
158536;66.2631;69.5733;
158604;66.131;69.0486;
158675;65.8791;68.8633;
158751;65.8177;68.5021;
158824;65.7624;67.6284;
158894;65.7103;67.227;
158966;65.7256;66.7538;
159042;65.5993;66.4659;
159112;65.4573;66.0936;
159187;65.4636;66.0642;
159261;65.3637;65.89;
159331;65.1784;65.6559;
159408;65.043;65.7105;
159484;65.0783;65.631;
159551;65.0906;65.7249;
159625;65.0466;65.6711;
159703;64.981;65.5655;
159769;65.0551;65.6568;
159840;64.9826;65.7902;
159914;64.9491;65.8936;
159985;64.8677;65.5347;
160058;65.0061;65.4761;
160134;65.0128;65.2545;
160206;64.9441;65.3748;
160277;65.0476;65.2919;
160357;65.039;65.3266;
160428;64.9547;65.2868;
160497;65.028;65.3268;
160570;65.0555;65.3734;
160642;64.9732;65.5039;
160716;65.0308;65.6111;
160787;65.0826;65.6536;
160860;65.0849;65.6425;
160928;64.9626;65.8607;
161005;64.7967;66.4529;
161078;64.8708;66.5498;
161156;64.8364;67.0688;
161226;64.9012;67.3963;
161297;65.0289;67.9364;
161372;65.0471;68.4508;
161444;65.0007;69.1107;
161515;65.2395;69.4979;
161589;65.425;69.8193;
161665;65.3339;70.2965;
161737;65.5213;70.7801;
161806;65.5888;71.3067;
161886;65.6015;71.9012;
161956;65.7968;72.3324;
162031;65.7125;73.019;
162100;65.6686;73.3877;
162170;65.7951;73.4831;
162244;65.8169;74.1001;
162323;65.8355;74.5927;
162388;65.9504;75.065;
162465;66.0318;75.5601;
162537;66.0598;76.0899;
162606;66.2853;76.4923;
162682;66.2368;76.7055;
162758;66.2192;77.1743;
162825;66.3909;77.7129;
162905;66.3701;78.0447;
162983;66.4444;78.4101;
163050;66.6325;78.726;
163121;66.4656;79.2421;
163194;66.4295;79.3149;
163266;66.5561;79.4799;
163338;66.7235;79.8256;
163411;66.6331;80.0306;
163482;66.5684;80.255;
163555;66.7223;80.309;
163627;66.8564;80.5831;
163700;66.8357;80.7311;
163777;66.8719;80.7272;
163848;66.8327;80.7612;
163920;66.7687;80.7468;
163998;66.8304;80.7548;
164068;66.878;80.3495;
164138;66.8292;79.711;
164217;66.8409;78.6475;
164287;66.9932;77.1541;
164355;67.1235;76.3195;
164429;67.016;75.4318;
164502;66.8783;74.7933;
164576;66.6923;73.9708;
164648;66.7188;73.3276;
164720;66.5551;72.9185;
164795;66.4399;72.2186;
164867;66.4471;71.7037;
164941;66.2759;71.145;
165011;66.2603;70.6751;
165085;66.252;70.2045;
165161;66.078;69.7199;
165230;65.9134;69.486;
165305;65.9466;69.2394;
165377;65.7621;68.3556;
165451;65.8525;67.9623;
165521;65.7755;67.4101;
165594;65.7091;67.2294;
165667;65.7098;66.8275;
165740;65.5751;66.608;
165816;65.5858;66.4272;
165892;65.5002;66.3142;
165964;65.4624;66.1729;
166037;65.3768;66.1418;
166102;65.3184;66.0843;
166176;65.3261;66.0044;
166248;65.2601;65.9138;
166327;65.2414;65.8647;
166400;64.9923;66.0349;
166475;65.0996;66.0081;
166542;65.1808;65.8485;
166619;65.0812;65.7255;
166690;65.109;65.518;
166761;65.1122;65.3638;
166833;65.1335;65.4201;
166910;65.2019;65.4353;
166982;65.2492;65.2969;
167053;65.0699;65.3389;
167131;65.1751;65.3928;
167200;65.0477;65.5256;
167272;65.0657;65.5336;
167344;65.0846;65.6056;
167414;65.0473;65.5507;
167489;65.0209;65.7366;
167565;64.9238;66.0902;
167635;65.0137;65.798;
167706;64.9803;65.8596;
167787;64.9778;65.6734;
167857;65.1133;65.5904;
167927;64.968;65.5185;
168007;65.1392;65.4877;
168072;65.2065;65.5563;
168140;64.9962;65.4873;
168218;64.9147;65.5097;
168289;65.1047;65.518;
168364;65.0955;65.6945;
168437;65.0548;65.8321;
168512;65.1304;65.849;
168587;65.0367;66.0891;
168659;64.9311;66.6052;
168728;64.9401;67.3888;
168806;65.1038;67.4609;
168879;65.046;68.114;
168951;65.102;68.5761;
169025;65.2969;69.0357;
169093;65.3348;69.5036;
169164;65.5109;70.0239;
169234;65.5111;70.565;
169309;65.7345;71.0778;
169387;65.7851;71.5552;
169452;65.895;72.1658;
169530;65.9151;72.6338;
169603;66.018;73.2356;
169679;66.0469;73.8013;
169751;66.0246;74.3466;
169819;66.0343;74.8446;
169893;66.1541;74.9851;
169972;66.2901;75.4751;
170043;66.388;75.911;
170110;66.4071;76.2847;
170188;66.452;76.7027;
170259;66.6386;77.0846;
170332;66.6511;77.5253;
