17:51:45   Default
28102021 2.MessungPatient2
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
69931;27.5681;17.3781;
70002;27.5737;17.5777;
70074;27.6718;17.7609;
70147;27.6058;18.6395;
70216;27.7716;19.3056;
70298;27.8147;19.9549;
70367;27.9154;20.7037;
70446;28.1758;20.9634;
70512;28.4743;21.2757;
70585;28.7799;21.5285;
70665;29.0892;22.0569;
70730;29.3889;22.4861;
70804;29.6314;23.0121;
70881;29.8775;23.366;
70950;30.2094;23.8307;
71021;30.577;24.4058;
71090;30.8502;24.8608;
71166;31.1441;25.3414;
71242;31.4204;25.7892;
71318;31.6449;26.5061;
71386;31.7058;27.1269;
71459;31.899;27.5959;
71528;32.2007;28.0985;
71602;32.5017;28.4219;
71678;32.7469;28.976;
71746;32.7666;29.9479;
71821;32.8313;30.3258;
71897;32.9361;30.8343;
71970;33.0985;31.3807;
72045;33.2435;31.0799;
72115;33.1899;30.7801;
72186;33.2796;30.203;
72261;33.3023;29.4022;
72333;33.1189;28.2778;
72407;33.0431;27.5488;
72479;32.8952;26.7054;
72552;32.6123;25.9283;
72622;32.2756;25.2253;
72697;32.0402;24.6832;
72775;31.714;23.7899;
72852;31.495;22.8044;
72913;31.3061;22.1402;
72996;31.0662;21.2214;
73066;30.6801;20.7722;
73132;30.5522;20.2493;
73208;30.2301;19.6802;
73282;29.9349;19.3607;
73354;29.7479;18.8534;
73423;29.4396;18.6063;
73498;29.1724;18.3769;
73571;28.9752;18.2583;
73648;28.7471;18.0031;
73715;28.4452;18.0523;
73793;28.1617;18.2483;
73865;28.1457;17.5395;
73930;28.0256;17.3559;
74016;28.0208;17.0165;
74081;27.9791;16.8429;
74156;27.9779;16.567;
74233;27.8695;16.5761;
74303;27.933;16.5327;
74373;27.9253;16.4297;
74451;27.8501;16.4838;
74519;27.8621;16.642;
74589;27.899;16.7954;
74670;27.9401;17.0443;
74738;27.8163;17.7145;
74812;27.7256;18.6398;
74887;27.8899;18.9677;
74955;28.1708;19.4902;
75026;28.4787;19.7473;
75102;28.988;20.1354;
75177;29.187;20.5904;
75251;29.7105;21.0693;
75319;30.005;21.4686;
75394;30.4171;21.681;
75465;30.9135;21.904;
75536;31.3645;22.2422;
75611;31.5907;22.8074;
75689;31.9337;23.4674;
75759;31.9587;24.4031;
75835;32.1076;24.8654;
75905;32.363;25.4531;
75975;32.5502;26.137;
76053;32.7877;26.9499;
76124;32.8162;27.8579;
76191;32.9374;28.6557;
76266;32.9896;29.3213;
76339;32.9982;29.9167;
76414;33.1001;30.1245;
76489;33.1641;29.7023;
76559;33.196;29.6284;
76632;33.2583;29.0618;
76709;33.1206;28.4326;
76782;32.9628;27.5074;
76851;32.9532;26.2936;
76923;32.6911;25.2852;
76998;32.4477;24.2248;
77067;32.1485;23.4708;
77144;31.6556;22.6397;
77213;31.3828;21.8222;
77288;31.1116;21.1391;
77361;30.7688;20.3598;
77431;30.4468;19.9154;
77505;30.2789;19.3902;
77578;29.8648;19.0147;
77652;29.5988;18.7278;
77731;29.1775;18.852;
77802;28.7683;18.9813;
77870;28.6275;18.1285;
77944;28.507;17.8211;
78018;28.4123;17.3495;
78093;28.2426;17.1023;
78165;28.1864;17.0268;
78234;28.0994;16.7846;
78303;28.0392;16.6298;
78387;27.9617;16.5731;
78458;27.9273;16.5929;
78532;27.8645;16.496;
78600;27.7763;16.5219;
78675;27.8772;16.5536;
78746;27.7304;16.875;
78813;27.7547;17.0261;
78888;27.7423;16.659;
78963;27.7497;16.5967;
79037;27.8977;16.6504;
79113;27.8735;16.9189;
79184;27.9466;17.1068;
79255;27.9624;17.7338;
79330;28.1442;18.249;
79407;28.2511;18.812;
79478;28.4941;19.2121;
79546;28.7915;19.4507;
79615;29.1763;19.991;
79690;29.471;20.7525;
79760;29.6554;21.5683;
79835;29.7368;22.3044;
79906;30.0759;22.7516;
79987;30.3024;23.5823;
80053;30.7801;23.622;
80127;31.0096;24.2244;
80198;31.4817;24.8304;
80273;31.7125;25.4725;
80346;31.904;25.9429;
80418;32.2639;26.4643;
80494;32.5408;27.2504;
80568;32.5884;27.9997;
80643;32.7541;28.8746;
80715;32.8202;29.694;
80792;32.8795;30.3538;
80859;32.9661;30.6399;
80928;33.0893;31.0923;
81002;33.203;30.7598;
81074;33.1576;30.4978;
81144;33.1715;29.8088;
81218;33.1294;28.9983;
81296;33.0574;28.4268;
81366;32.8953;27.8033;
81437;32.7194;26.9931;
81511;32.4302;26.2499;
81583;32.1581;25.2945;
81660;31.8543;24.5312;
81731;31.4547;24.0352;
81804;31.2381;22.8447;
81873;30.8467;22.2192;
81948;30.6704;21.4634;
82021;30.266;21.0717;
82092;29.9256;20.4219;
82167;29.6615;20.0272;
82242;29.4444;19.4541;
82311;29.1684;18.9037;
82386;28.9692;18.5105;
82458;28.7681;18.188;
82529;28.5301;18.009;
82603;28.4448;17.7957;
82678;28.2729;17.8017;
82750;28.037;17.9252;
82826;28.0179;17.3242;
82900;27.9046;17.1741;
82968;27.9627;16.8812;
83039;27.7753;16.7267;
83118;27.7769;16.5722;
83194;27.8969;16.411;
83261;27.9481;16.4299;
83333;27.8966;16.4091;
83412;27.923;16.463;
83480;27.8362;16.9178;
83549;27.9614;17.4293;
83629;27.9527;18.2633;
83703;27.9328;19.1355;
83775;27.9811;20.0207;
83846;28.2905;19.7695;
83914;28.7799;20.1449;
83991;29.1668;20.6398;
84062;29.6186;21.0536;
84135;30.0183;21.525;
84209;30.6937;21.0712;
84288;31.2611;21.651;
84356;31.561;22.3136;
84423;31.6452;23.325;
84498;31.859;24.3811;
84573;32.0807;25.2443;
84644;32.3048;26.244;
84712;32.3108;27.0504;
84788;32.5226;27.7585;
84861;32.7552;28.2412;
84937;33.0011;29.1655;
85010;33.1648;29.9159;
85081;33.1937;31.0407;
85156;33.2687;31.9194;
85231;33.4164;32.64;
85305;33.489;32.7956;
85377;33.3448;33.1332;
85451;33.4394;32.7952;
85527;33.3642;31.9617;
85591;33.3763;31.2653;
85663;33.1796;30.6431;
85737;32.8747;29.3957;
85809;32.7383;28.1764;
85881;32.6031;27.3535;
85957;32.3525;26.2501;
86032;32.0767;25.5003;
86108;31.7229;24.874;
86172;31.6296;23.9138;
86248;31.3368;23.2695;
86318;30.9672;22.6742;
86392;30.7527;21.9545;
86469;30.4816;21.2046;
86542;30.2721;20.5303;
86610;30.1333;20.0472;
86687;29.8485;19.7207;
86757;29.4982;19.5523;
86829;29.3546;18.7693;
86910;29.2462;18.4343;
86979;29.1938;17.8892;
87048;29.102;17.4528;
87125;28.9246;16.9875;
87196;28.8621;16.8006;
87263;28.7922;16.5081;
87348;28.7508;16.3889;
87421;28.6797;16.3243;
87484;28.6457;16.2493;
87558;28.7052;16.4972;
87633;28.6501;16.9575;
87712;28.5635;17.623;
87777;28.5503;18.4271;
87854;28.5432;19.1343;
87921;28.5931;19.9608;
88000;28.7346;20.881;
88072;28.9528;21.5582;
88140;29.2077;22.1654;
88219;29.5341;22.7915;
88293;29.8948;23.3907;
88357;30.098;23.7656;
88432;30.4568;24.2323;
88511;30.6924;24.9866;
88582;30.9189;25.7006;
88651;31.1557;26.5274;
88730;31.2511;27.1432;
88804;31.3921;28.0038;
88873;31.5288;28.4979;
88941;31.7849;29.1272;
89016;31.9662;29.6239;
89086;32.3238;29.6776;
89160;32.5611;30.3774;
89233;32.7233;31.2695;
89310;32.867;32.0732;
89387;33.0069;32.6409;
89457;33.0473;33.4052;
89528;33.2456;33.8542;
89606;33.2387;34.1188;
89669;33.2761;34.3709;
89747;33.1267;34.376;
89815;33.0689;33.9608;
89888;33.0661;33.5657;
89965;33.0761;33.2659;
90034;32.9904;32.8855;
90109;32.973;32.3584;
90178;32.9523;31.6797;
90255;32.8062;30.9999;
90324;32.6291;30.1777;
90403;32.4843;29.3401;
90476;32.2831;28.4836;
90548;32.1756;27.6498;
90620;31.7749;26.6404;
90689;31.5791;25.8763;
90759;31.2664;25.4975;
90838;30.9254;24.7908;
90913;30.713;23.8591;
90983;30.528;22.9899;
91056;30.3352;22.2325;
91126;30.0527;21.6989;
91200;29.9242;20.9672;
91268;29.7773;20.2765;
91348;29.5351;19.6603;
91420;29.403;19.0963;
91490;29.1772;18.6955;
91565;29.04;18.3072;
91635;28.7759;18.0809;
91713;28.6816;17.8691;
91785;28.5525;17.5761;
91856;28.3151;17.6519;
91931;28.0908;17.8232;
92002;28.0761;17.2294;
92079;28.1053;17.1316;
92146;28.0162;16.8052;
92221;27.9639;16.7808;
92291;27.8847;16.4899;
92365;27.8674;16.4052;
92439;27.8996;16.4029;
92513;27.8066;16.3242;
92585;27.8167;16.4199;
92660;27.8314;16.5397;
92733;27.7465;16.6664;
92803;27.8275;16.8286;
92876;27.8328;17.0591;
92957;27.7026;17.3258;
93023;27.8643;17.6642;
93100;27.9384;18.3935;
93170;28.189;18.8851;
93238;28.5723;19.412;
93314;28.7626;20.0799;
93386;29.0733;20.7943;
93465;29.3269;21.2665;
93536;29.634;21.8753;
93609;29.8321;22.4912;
93677;29.9663;23.1169;
93754;30.2188;23.8155;
93823;30.4345;24.5891;
93895;30.4241;25.3634;
93968;30.6324;26.004;
94044;30.9328;26.2805;
94118;31.174;26.9768;
94191;31.3463;27.526;
94262;31.6104;27.9327;
94335;32.036;28.1272;
94410;32.3824;28.8008;
94478;32.5009;29.5513;
94550;32.4567;30.0868;
94622;32.5678;30.7537;
94700;32.5593;31.3948;
94777;32.6743;31.6944;
94844;32.4752;32.0304;
94915;32.4438;31.8673;
94989;32.3922;31.6427;
95065;32.3459;31.285;
95133;32.3199;30.5134;
95208;32.1149;29.9322;
95285;31.932;29.0959;
95352;31.7485;28.0197;
95425;31.5708;27.1894;
95501;31.2703;26.2968;
95569;31.1975;25.3154;
95647;30.9629;24.4547;
95718;30.8494;23.6666;
95791;30.5256;23.2946;
95864;30.0462;22.9854;
95935;29.8105;21.9025;
96008;29.5001;21.4274;
96081;29.1641;20.9186;
96154;28.9027;20.2084;
96234;28.6279;19.7341;
96304;28.4529;19.3465;
96374;28.2371;19.0846;
96443;28.0153;18.643;
96515;27.8183;18.3625;
96590;27.6152;18.0638;
96665;27.5604;17.8471;
96738;27.3991;17.7731;
96810;27.3522;17.5365;
96883;27.1735;17.8332;
96957;27.1649;17.84;
97027;27.1332;17.5774;
97099;27.184;17.4266;
97174;27.2123;17.132;
97247;27.1155;17.139;
97319;27.1517;16.9822;
97390;27.1067;17.0309;
97466;27.1805;17.0547;
97535;27.1769;16.9576;
97612;27.1488;17.0652;
97684;27.1731;17.2092;
97755;27.1473;17.4312;
97829;27.2091;17.5489;
97900;27.2051;17.6925;
97975;27.0566;18.224;
98047;27.1815;18.118;
98123;27.1858;18.6501;
98193;27.1921;19.5598;
98264;27.2135;20.152;
98337;27.3163;20.9417;
98415;27.4939;21.4518;
98482;27.8049;22.0912;
98558;28.0379;22.6469;
98632;28.2331;23.2316;
98704;28.4809;23.8749;
98777;28.6929;24.5232;
98851;28.9414;25.3612;
98923;29.1725;25.8089;
98995;29.3793;26.177;
99072;29.7674;26.6348;
99143;30.0756;27.3068;
99218;30.3736;27.6367;
99286;30.4981;28.2923;
99362;30.8341;29.0592;
99435;30.9369;29.9229;
99506;31.1012;30.6494;
99577;31.1802;31.4597;
99655;31.2506;31.9816;
99723;31.3576;32.6565;
99797;31.3219;33.241;
99876;31.3356;33.7818;
99941;31.2723;34.3113;
100016;31.3174;34.1063;
100087;31.3764;34.2279;
100158;31.4699;33.5905;
100229;31.3428;33.0143;
100311;31.183;33.0098;
100381;31.213;32.1728;
100450;31.1779;31.4847;
100529;31.1327;30.7518;
100608;30.9714;29.8628;
100674;30.7965;29.0009;
100748;30.6432;28.2036;
100816;30.3903;27.4002;
100890;30.1836;26.6485;
100963;29.9851;25.5667;
101033;29.8402;24.545;
101107;29.7002;23.5976;
101182;29.5789;22.6312;
101255;29.3249;22.084;
101326;29.0492;21.2915;
101399;28.8906;20.6893;
101476;28.7123;20.0958;
101544;28.5799;19.559;
101616;28.4255;19.1102;
101694;28.2582;18.7639;
101774;28.1397;18.5093;
101837;28.0065;18.125;
101913;27.8252;18.1059;
101985;27.6157;18.1488;
102060;27.6085;17.8929;
102127;27.4769;17.7577;
102200;27.5171;17.5691;
102276;27.5008;17.3971;
102346;27.5272;17.3093;
102416;27.49;17.2367;
102489;27.4164;17.2888;
102564;27.4525;17.2682;
