16:55:14   Default
2021_11_23_Patient29
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
186727;66.2208;71.6984;
186800;66.2416;72.4777;
186875;66.1344;73.3602;
186948;66.2907;73.7473;
187030;66.3167;74.9072;
187098;66.3539;76.2034;
187163;66.3355;77.0065;
187245;66.485;78.1684;
187315;66.6004;78.9412;
187389;66.7756;79.628;
187464;66.8758;80.1773;
187536;66.9608;80.6919;
187607;67.1019;80.827;
187684;67.3041;80.1537;
187758;67.3157;79.0836;
187832;67.338;78.0067;
187903;67.458;76.806;
187969;67.3265;76.2466;
188046;67.2431;75.2556;
188120;67.0845;74.5079;
188189;67.0867;73.6513;
188259;67.0556;72.6678;
188332;66.9267;71.9203;
188406;66.9079;71.1321;
188482;66.7272;70.3101;
188555;66.4429;69.6311;
188627;65.7687;69.2867;
188695;65.2087;69.3832;
188771;64.8204;68.2326;
188843;64.6883;67.8295;
188914;64.6045;67.5593;
188989;64.5168;67.0747;
189062;64.3624;66.4572;
189136;64.395;66.0385;
189209;64.4248;65.6435;
189281;64.3013;65.1779;
189355;64.3967;64.7268;
189426;64.3956;64.2799;
189498;64.5362;63.8929;
189574;64.7126;63.7939;
189647;64.7011;64.2871;
189719;64.9377;63.5218;
189791;65.2424;63.359;
189870;65.336;63.2476;
189935;65.1276;63.0674;
190016;65.2531;63.1646;
190083;65.4085;63.2024;
190157;65.4033;62.9692;
190227;65.2307;62.9673;
190299;65.4314;62.9279;
190379;65.6895;62.6616;
190446;65.6883;62.5066;
190516;65.5835;62.7057;
190590;65.5098;63.181;
190670;65.4991;63.2721;
190739;65.3906;62.9945;
190810;65.5009;62.9007;
190884;65.3516;62.7735;
190962;65.2625;62.5629;
191028;65.354;62.6613;
191103;65.2334;62.5078;
191174;65.1365;62.5431;
191248;65.2196;62.6348;
191320;65.256;62.6154;
191396;65.2818;62.6024;
191466;65.2841;62.6933;
191537;65.1817;63.1031;
191610;65.1476;63.7667;
191686;65.1883;63.9904;
191758;65.2255;64.5644;
191833;65.195;65.3015;
191905;65.2241;66.4995;
191977;65.3852;67.4124;
192054;65.5936;68.341;
192124;65.4642;69.2869;
192198;65.6521;70.0393;
192270;65.7951;70.905;
192340;65.8372;71.8505;
192414;65.9253;72.7686;
192487;65.8411;73.7475;
192563;65.8642;74.7076;
192632;66.0339;75.3508;
192705;66.1597;76.2227;
192775;66.3399;76.682;
192847;66.3542;77.0443;
192927;66.6707;77.3887;
192995;66.7525;78.0141;
193066;66.8063;78.5718;
193144;66.8962;78.9795;
193215;67.0031;79.2986;
193290;67.0593;79.5443;
193365;67.0206;78.8573;
193434;67.1609;77.5279;
193512;67.1957;76.2895;
193581;67.2198;74.776;
193651;67.0652;74.0554;
